Segment Number,Scene Title ,Start Time (min),End Time (min),Start Time (s) , End Time (s) ,Scene Details - A Level ,Scene Details - B Level,Original B Levels (Janice) fixed,Space-In/Outdoor,Who-N/G/M,Name - All,Name - Focus,Name - Speaking,Space-In/Outdoor,Location,Camera Angle,Words on Screen ,Music Presence ,Temporal Relationship ,Type of Jump,Arousal,valence
703,,11:30,11:31,690,691,"The Man says: ""Watch.""", ,,Outdoor,"M, G","John, The Man",John,The Man,Outdoor,Phone Box on Brixton Road,,,Yes,,,4,-
704,,11:31,11:35,691,695,"The camera, which was pointing directly at the phone box, now swivels away. John is no longer visible through the camera. ", ,,Outdoor,M,John,John,,Outdoor,Phone Box on Brixton Road,"Pan, Close Up",,Yes,,,4,-
705,,11:35,11:36,695,696,"The screen is split into four. Supposedly four cameras (Brixton 053, Brixton 002, Brixton 051, Brixton 047) that show what is going on on the street. Brixton 051, the camera that has just swivelled, now shows a close up of the road. Nothing else is visible. Brixton 053 and Brixton 047 are still showing John in the phone booth at different angles. ", ,,Outdoor,M,John,John,,Outdoor,Phone Box on Brixton Road,Various,"Brixton 053, Brixton 002, Brixton 051, Brixton 047",Yes,,,4,-
706,,11:36,11:38,696,698,"The man says: ""There's another camera on the building opposite to you."" John looks around to find it. ", ,,Outdoor,"M, G","John, The Man",John,The Man,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
707,,11:38,11:40,698,700,"A shot of the other CCTV camera. The man's voice continues: ""Do you see it?""", ,,Outdoor,G,The Man,,The Man,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
708,,11:40,11:41,700,701,"John does not answer, but he is looking in the camera's direction. ", ,,Outdoor,M,John,,,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
709,,11:41,11:43,701,703,The camera immediately swivels away. , ,,Outdoor,,Nobody,,,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
710,,11:43,11:47,703,707,"The man: ""And finally, at the top of the building on your right."" John turns his head to find the camera. ", ,,Outdoor,M,John,John,The Man,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
711,,11:47,11:51,707,711,Camera's point of view of John staring up into the third camera. , ,,Outdoor,M,John,John,,Outdoor,Phone Box on Brixton Road,"Point of View, Medium",,Yes,,,4,-
712,,11:51,11:53,711,713,John's viewpoint of the camera as it turns away. , ,,Outdoor,N,Nobody,,,Outdoor,Phone Box on Brixton Road,"Point of View, Medium",,Yes,,,4,-
713,,11:53,11:54,713,714,"The screen is split into four. Now camera Brixton 053, 051 and 047, which were initially trained on the phone box's direction are showing nothing. ", ,,Outdoor,N,Nobody,,,Outdoor,Main Road/Brixton High Road,Various,,Yes,,,4,-
714,,11:54,11:56,714,716,"John asks into the phone: ""How are you doing this?""", ,,Outdoor,M,John,John,John,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
715,,11:56,11:59,716,719,"The man's voice says: ""Get into the car, Doctor Watson."" A black car pulls up at the curb side near the phone. John watches it pull up. ", ,,Outdoor,"M, G","John, The Man",John,The Man,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
716,,11:59,12:05,719,725,"The man continues: ""I would make some sort of threat, but I'm sure your situation is quite clear to you."" ", ,,Outdoor,"M, G","John, The Man, Driver",John,The Man,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
717,,12:05,12:06,725,726,The male driver gets out and opens the rear car door. The phone goes dead., ,,Outdoor,"M, G","John, Driver",John,,Outdoor,Phone Box on Brixton Road,Medium,,Yes,,,4,-
718,,12:06,12:13,726,733,"John puts the phone down and looks thoughtful for a moment, then turns to leave the phone box. ", ,,Outdoor,M,John,John,,Outdoor,Phone Box on Brixton Road,Close Up,,Yes,,,4,-
719,On the Way to the Warehouse,12:13,12:19,733,739,A few moments later John is sitting in the back seat of the car as it pulls away and drives off. ,"38. Inside the black car, there is a woman constantly on her phone. Her fake-name is Anthea. John tries to strike up a conversation with Anthea, but he is not very successful. ",37. Mystery car ride,Outdoor,M,John,John,,Outdoor,On the Road in a Mystery Car,Medium,,Yes,Jump,1,4,-
720,,12:19,12:22,739,742,"John is on the right seat, right behind the driver. An attractive young woman is sitting beside John, her eyes fixed on her BlackBerry while she types on it. She is ignoring him. John turns toward her and says: ""Hello.""",Segment 719-732,,Outdoor,"M, G","John, Anthea","John, Anthea",John,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
721,,12:22,12:29,742,749,"The woman smiles brightly at him for a moment and says: ""hi"", before returning her gaze to her phone. John awkwardly stays seated. ", ,,Outdoor,"M, G","John, Anthea","John, Anthea",Anthea,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
722,,12:29,12:30,749,750,"John turns to the woman and asks: ""What's your name, then?""", ,,Outdoor,"M, G","John, Anthea","John, Anthea",John,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
723,,12:30,12:33,750,753,"The woman, without looking up from her phone, replies: ""Er…Anthea.""", ,,Outdoor,"M, G","John, Anthea","John, Anthea",Anthea,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
724,,12:33,12:35,753,756,"John asks Anthea: ""question Is that your real name? false lies""", ,,Outdoor,"M, G","John, Anthea","John, Anthea",John,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
725,,12:35,12:38,756,758,"Anthea smiles, turns toward John, and says: ""No."" lies", ,,Outdoor,"M, G","John, Anthea","John, Anthea",Anthea,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
726,,12:38,12:40,758,760,"John nods, then twists to look out of the rear window briefly before turning back again. ", ,,Outdoor,"M, G","John, Anthea","John, Anthea",,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
727,,12:40,12:41,760,761,"John says: ""I'm John"" while looking straight ahead. ", ,,Outdoor,"M, G","John, Anthea","John, Anthea",John,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
728,,12:41,12:44,761,764,"Anthea, still with eyes locked on her phone, replies: ""Yes. I know."" ", ,,Outdoor,"M, G","John, Anthea","John, Anthea",Anthea,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
729,,12:44,12:47,764,767,"John, surprised, looks at Anthea for a moment, then turns back. ", ,,Outdoor,"M, G","John, Anthea","John, Anthea",,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
730,,12:47,12:51,767,771,"John looks straight at the road and asks: ""Any point in asking where I am going?""", ,,Outdoor,"M, G","John, Anthea","John, Anthea",John,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
731,,12:51,12:56,771,776,"Anthea turns and smiles briefly at him and says: ""None at all…"" then looks back at her phone again. She continues: ""…John.""", ,,Outdoor,"M, G","John, Anthea","John, Anthea",Anthea,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
732,,12:56,12:59,776,779,"John turns to look out his window on the right and says: ""Okay.""", ,,Outdoor,"M, G","John, Anthea","John, Anthea",John,Outdoor,On the Road in a Mystery Car,"Two Shot, Medium",,Yes,,,3,+
733,Warehouse with The Man,12:59,13:04,779,784,"Some time later, the car pulls into an almost-empty warehouse. ","39. The car pulls up into an empty warehouse where a man in a suit is waiting. John approaches him, unafraid of who this man might be. The Man asks what John's connection is with Sherlock Holmes and reveals that he is deemed an enemy in Sherlock's eyes. ", ,Indoor,N,Nobody,,,Indoor,Warehouse,Long,,Yes,Jump,2,4,-
734,,13:04,13:14,784,794,"A man in a suit is standing in the centre of the area, leaning nonchalantly on an umbrella as he watches the car stop and John get out. Only his backside is shown. The car's lights are still on, illuminating the place. ",Segment 733-762,38. Mystery meeting,Indoor,G,The Man,The Man,,Indoor,Warehouse,Long,,Yes,,,4,-
735,,13:14,13:17,794,797,"The Man, whose face is not yet shown, watches John limps towards him, leaning heavily on his cane. ", ,,Indoor,"M, G","John, The Man",John,,Indoor,Warehouse,Medium,,Yes,,,4,-
736,,13:17,13:21,797,801,"In front of the man is a straight-backed chair facing him. He gestures to it with the point of his umbrella and says: ""Have a seat, John."" His face is visible. ", ,,Indoor,G,The Man,The Man,The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
737,,13:21,13:39,801,819,"As John continues to limp toward the man; his voice is calm as he says: ""You know, I've got a phone."" He looks around the warehouse. John continues: ""I mean, very clever and all that but er….you could just phone me. On my phone."" He walks straight past the chair and stops a few paces in front of the man. ", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,Medium,,Yes,,,4,-
738,,13:39,13:44,819,824,"The Man: ""When one is avoiding the attention of Sherlock Holmes, one learns to be discreet, hence this place."" The ", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
739,,13:44,13:46,824,826,"The Man gestures to the warehouse. He continues: ""The leg must be hurting you.""", ,,Indoor,"M, G","John, The Man","John, The Man",The Man,Indoor,Warehouse,Long,,Yes,,,4,-
740,,13:46,13:47,826,827,"The Man's voice, which has had a pleasant smile in it so far, now becomes a little more stern. He says: ""Sit Down.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
741,,13:47,13:50,827,830,"John looks straight at the Man and says: ""I don't want to sit down."" ", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
742,,13:50,13:52,830,832,"The Man looks at him curiously and says: ""You don't seem very afraid.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
743,,13:52,13:53,832,833,"John says: ""You don't seem very frightening.""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
744,,13:53,14:02,833,842,"The Man chuckles and says: ""Ah, yes. The bravery of the soldier. Bravery is by far the kindest word for stupidity…""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
745,,14:02,14:03,842,843,"John looks back at the Man with a straight face as the Man continues: ""…don't you think?""", ,,Indoor,"M, G","John, The Man",John,,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
746,,14:03,14:06,843,846,"The Man looks at John sternly and asks: ""What is your connection to Sherlock Holmes?""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
747,,14:06,14:12,846,852,"John replies: ""I don't have one. I barely know him. I met him…"" He looks away thoughtfully, then appears surprised as if he had not realised until now how little time has passed. He continues: ""…yesterday.""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
748,,14:12,14:19,852,859,"The Man: ""Mmm, and since yesterday you have moved in with him and now you are solving crimes together. Might we expect a happy announcement by the end of the week?""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
749,,14:19,14:20,859,860,"John asks: ""Who are you?""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
750,,14:20,14:22,860,862,"The Man replies: ""An interested party.""", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
751,,14:22,14:24,862,864,"John asks: ""Interested in Sherlock, why?""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
752,,14:24,14:26,864,866,"John continues: ""I'm guessing you are not friends.""", ,,Indoor,"M, G","John, The Man",The Man,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
753,,14:26,14:29,866,869,"The Man: ""you have met him. How many 'friends' do you imagine he has?""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
754,,14:29,14:30,869,870,John recognises the truth in the Man's words and does not reply. , ,,Indoor,"M, G","John, The Man",John,,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
755,,14:30,14:34,870,874,"The Man: ""I am the closest thing to a friend that Sherlock Holmes is capable of having.""", ,,Indoor,"M, G","John, The Man","John, The Man",The Man,Indoor,Warehouse,Long,,Yes,,,4,-
756,,14:34,14:35,874,875,"John asks: ""And what's that?""", ,,Indoor,"M, G","John, The Man","John, The Man",John,Indoor,Warehouse,Long,,Yes,,,4,-
757,,14:35,14:37,875,877,"The Man replies: ""An enemy."" John immediately says: ""An enemy?""", ,,Indoor,"M, G","John, The Man","John, The Man","John, The Man",Indoor,Warehouse,Long,,Yes,,,4,-
758,,14:37,14:38,877,878,"The Man: ""In his mind, certainly.""", ,,Indoor,"M, G","John, The Man","John, The Man",The Man,Indoor,Warehouse,Long,,Yes,,,4,-
759,,14:38,14:44,878,884,"The Man continues: ""If you were to ask him, he'd probably say his arch-enemy. He does love to be dramatic.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
760,,14:44,14:46,884,886,"John says sarcastically: ""Well, thank God you are above all that.""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
761,,14:46,14:48,886,888,The Man frowns at John. , ,,Indoor,"M, G","John, The Man",The Man,,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
762,,14:48,14:50,888,890,John's phone trills a text alert and John reaches into his left pocket. , ,,Indoor,"M, G","John, The Man ","John, The Man",,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
763,,14:50,14:53,890,893,"John takes his phone out and activates it, looking at the message while ignoring the man in front of him. The message reads: Baker Street. Come at once if convenient. SH",40. John receives a text from Sherlock urging him to go to Baker Street. The Man offers John money to let The Man know about Sherlock's activities stating that he worries about Sherlock. John receives another urgent message from Sherlock and John says no in response to The Man's offer. , ,Indoor,"M, G","John, The Man",John,,Indoor,Warehouse,"Over the Shoulder, Medium",Baker Street. Come at once if convenient. SH,Yes,,,4,-
764,,14:53,14:56,893,896,"The Man says: ""I hope I'm not distracting you."" John continues to look at his phone and does not answer right away. ",Segment 763-790,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
765,,14:56,14:57,896,897,"John, finally looking up from his phone, casually says: ""Not distracting me at all""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
766,,14:57,15:00,897,900,"The Man asks: ""Do you plan to continue your association with Sherlock Holmes?""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
767,,15:00,15:04,900,904,"John replies: ""I could be wrong… but I think that's none of your business.""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
768,,15:04,15:05,904,905,"The Man, a little ominously, replies: ""It could be.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
769,,15:05,15:07,905,907,"John says with a stern fervent look: ""It really could not."" loyal colleague", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
770,,15:07,15:11,907,911,"The Man takes a notebook from his inside pocket, then opens it and consults it as he says: ""If you do move into um…""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
771,,15:11,15:15,911,915,"The Man reads aloud from his notebook and says: ""Two hundred and twenty one B…"" John is looks down at the Man's notebook.", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
772,,15:15,15:19,915,919,"The Man continues: ""…Baker Street, I'd be happy to pay you a meaningful…""", ,,Indoor,"M, G","John, The Man","John, The Man",The Man,Indoor,Warehouse,Long,,Yes,,,4,-
773,,15:19,15:23,919,923,"The Man continues: ""…sum of money on a regular basis to…"" He closes his notebook and puts it away again, then continues: ""…ease your way.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
774,,15:23,15:24,923,924,"John asks: ""Why?""  ", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
775,,15:24,15:26,924,926,"The Man replies in a matter-of-fact way: ""Because you are not a wealthy man.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
776,,15:26,15:27,926,927,"John: ""In exchange for what?""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
777,,15:27,15:34,927,934,"The Man pauses for a moment and says: ""Information. Nothing indiscreet. Nothing you would feel…uncomfortable with.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
778,,15:34,15:35,934,935,"The Man continues: ""Just tell me what he's up to."" ", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
779,,15:35,15:36,935,936,"John asks: ""Why?""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
780,,15:36,15:41,936,941,"The Man replies: ""I worry about him…constantly.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
781,,15:41,15:42,941,942,"Johns says insincerely: ""That's nice of you.""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
782,,15:42,15:50,942,950,"The Man: ""But I would prefer for various reasons that my concern kept silent. We have what you might call a…"" The man looks at the tip of his umbrella for a moment, then says: ""... difficult relationship."" ", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
783,,15:50,15:51,950,951,John's phone trills another text alert. , ,,Indoor,"M, G","John, The Man",The Man,,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
784,,15:51,15:54,951,954,John immediately takes his phone out , ,39. Watson rejects offer,Indoor,"M, G","John, The Man","John, The Man",,Indoor,Warehouse,Long,,Yes,,,4,-
785,,15:54,15:57,954,957,"John looks at the message, which reads: If inconvenient, come anyway. SH", ,,Indoor,"M, G","John, The Man",John,,Indoor,Warehouse,"Over the Shoulder, Medium","If inconvenient, come anyway. SH",Yes,,,4,-
786,,15:57,15:58,957,958,"John closes the message and says: ""No"" in response to the Man's offer. ", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
787,,15:58,16:00,958,960,"The Man: ""But I haven't mentioned a figure.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
788,,16:00,16:01,960,961,"John says: ""Don't bother.""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
789,,16:01,16:04,961,964,"The Man laughs briefly and says: ""you are very loyal, very quickly.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
790,,16:04,16:06,964,966,"John says: ""No, I'm not. I'm just not interested."" ", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
791,,16:06,16:13,966,973,"The Man looks at him closely for a moment, then takes out his notebook and opens it again. The Man gestures slightly to make it clear that he is reading a note from the book and says: ""'Trust issues,' it says here.""",41. The Man reads from a small notebook information that only John's psychotherapist would have. This catches John by surprise. John starts to walk back to the car when The Man mentions John's left hand. The Man examines John's left hand and says that John's psychotherapist misdiagnosed John's condition as PTSD. The Man says that John misses the war and that John sees the battlefield with Sherlock. The Man starts the walk away. , ,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
792,,16:13,16:18,973,978,"For the first time since the encounter with The Man, John looks a little unnerved. He looks down at the notebook in The Man's hand and asks: ""What's that?""",Segment 791-828,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
793,,16:18,16:21,978,981,"The Man, still looking down at his book, asks: ""Could it be that you have decided to trust Sherlock Holmes….""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
794,,16:21,16:22,981,982,"The Man continues: ""…of all people?"" John is still looking down at the notebook. ", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
795,,16:22,16:23,982,983,"John asks: ""Who says I trust him?"" and looks up at The Man. ", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
796,,16:23,16:25,983,985,"The Man, still looking down at his book, says: ""You don't seem the kind to make friends easily.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
797,,16:25,16:26,985,986,"John, starting to get angry, asks: ""Are we done?""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
798,,16:26,16:29,986,989,"The man raises his head and looks into John eyes. He says: ""You tell me.""", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
799,,16:29,16:34,989,994,"John looks at The Man for a few seconds, tilting his head. ", ,,Indoor,M,John,John,,Indoor,Warehouse,Medium,,Yes,,,4,-
800,,16:34,16:35,994,995,John turns around to go back to the car. , ,,Indoor,M,John,John,,Indoor,Warehouse,Medium,,,,,4,-
801,,16:35,16:36,995,996,John turns his back on The Man and starts to walk away. , ,,Indoor,"M, G","John, The Man",John,,Indoor,Warehouse,Medium,,Yes,,,4,-
802,,16:36,16:42,996,1002," John continues to walk back toward the car. The Man says: ""I imagine people have already warned you to stay away from him, but I can see from your left hand that's not going to happen."" John stops walking. ", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
803,,16:42,16:46,1002,1006,"John pauses, shakes his head, then turns around to face The Man again. He asks through bared teeth: ""My what?""", ,,Indoor,M,John,John,John,Indoor,Warehouse,Medium,,Yes,,,4,-
804,,16:46,16:48,1006,1008,"The Man says calmly: ""Show me."" He nods toward John's left hand as he speaks. He plants the tip of his umbrella on the floor and leans on it casually. ", ,,Indoor,"M, G","John, The Man",The Man,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
805,,16:48,16:56,1008,1016,"John pauses, then deliberately shifts his feet under him, as if digging in. He raises his left hand, bending it at the elbow, and stands still. He wants The Man to come to him to see his hand. ", ,40. Left hand,Indoor,"M, G","John, The Man","John, The Man",,Indoor,Warehouse,Long,,Yes,,,4,-
806,,16:56,16:59,1016,1019,"Maintaining composure after John's belligerence, the man strolls forward, hooking the handle of the umbrella over his arm as he reaches for John's hand.", ,,Indoor,"M, G","John, The Man","John, The Man",,Indoor,Warehouse,Long,,Yes,,,4,-
807,,16:59,17:00,1019,1020,"The Man reaches for John's hand. John instantly pulls his hand back a little and says tensely: ""Don't""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
808,,17:00,17:02,1020,1022,The Man lowers his head and raises his eyebrows at John with a small smile, ,,Indoor,G,The Man,The Man,,Indoor,Warehouse,Close Up,,Yes,,,4,-
809,,17:02,17:05,1022,1025,John stares at The Man for a moment., ,,Indoor,"M, G","John, The Man",John,,Indoor,Warehouse,Medium,,Yes,,,4,-
810,,17:05,17:08,1025,1028,"John very reluctantly lowers his hand, holding it out flat with the palm down. The man takes it in both of his own hands. ", ,,Indoor,"M, G","John, The Man",John,,Indoor,Warehouse,Medium,,Yes,,,4,-
811,,17:08,17:09,1028,1029,"The Man examines John's hand closely then states: ""Remarkable.""", ,,Indoor,"M, G","John, The Man","John, The Man",The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
812,,17:09,17:10,1029,1030,"John snatches his hand away and asks: ""What is?""", ,,Indoor,"M, G","John, The Man","John, The Man",John,Indoor,Warehouse,Medium,,Yes,,,4,-
813,,17:10,17:17,1030,1037,"The Man turns and while walking a few paces away says: ""Most people blunder round this city, and all they see are streets and shops and cars."" John is staring at The Man. ", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
814,,17:17,17:20,1037,1040,"The Man stops walking and continues: ""When you walk with Sherlock Holmes, you see the battlefield."" John is looking at The Man with a serious look the whole time. ", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
815,,17:20,17:22,1040,1042,"The Man turns toward John again and asks: ""you have seen it already, haven't you?""", ,,Indoor,G,The Man,The Man,The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
816,,17:22,17:24,1042,1044,"John asks: ""What's wrong with my hand?""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
817,,17:24,17:26,1044,1046,"The Man says: ""You have an intermittent tremor in…""", ,,Indoor,G,The Man,The Man,The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
818,,17:26,17:28,1046,1048,"The Man continues: ""…your left hand."" John nods in agreement. ", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
819,,17:28,17:30,1048,1050,"The Man: ""Your therapist thinks it's post-traumatic…""", ,,Indoor,G,The Man,The Man,The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
820,,17:30,17:34,1050,1054,"The Man continues: ""…stress disorder. She thinks you are haunted by memories of your military service."" John almost flinches as the man accurately fires off these facts at him. His gaze is fixed ahead of him and a muscle in his cheek twitches repeatedly.", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
821,,17:34,17:36,1054,1056,"John, angry and distressed, asks: ""Who the hell are you?""", ,,Indoor,"M, G ","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
822,,17:36,17:37,1056,1057,The Man does not answer. , ,,Indoor,G,The Man,The Man,,Indoor,Warehouse,Medium,,Yes,,,4,-
823,,17:37,17:38,1057,1058,"John asks: ""How do you know that?""", ,,Indoor,"M, G","John, The Man",John,John,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
824,,17:38,17:41,1058,1061,"The Man ignores John's questions and says: ""Fire her. she is got it the wrong way around.""", ,,Indoor,M,The Man,The Man,The Man,Indoor,Warehouse,Medium,,Yes,,,4,-
825,,17:41,17:45,1061,1065,"The Man continues: ""you are under stress right now and your hand is perfectly steady."" John's eyes flicker downwards before returning to stare ahead of himself, his face set and struggling to hold back his anger. ", ,,Indoor,"M, G","John, The Man",John,The Man,Indoor,Warehouse,"Over the Shoulder, Medium",,Yes,,,4,-
